iter	Passed	Remaining
0	304	303771
1	363	181351
2	398	132375
3	432	107635
4	467	93013
5	501	83078
6	534	75812
7	566	70236
8	596	65715
9	627	62120
10	660	59396
11	700	57651
12	747	56787
13	793	55896
14	876	57581
15	941	57929
16	1012	58520
17	1073	58590
18	1127	58208
19	1187	58211
20	1252	58368
21	1302	57886
22	1342	57030
23	1381	56180
24	1416	55242
25	1450	54333
26	1495	53881
27	1538	53414
28	1587	53167
29	1643	53146
30	1682	52586
31	1733	52431
32	1778	52104
33	1817	51649
34	1861	51326
35	1896	50772
36	1935	50381
37	1998	50587
38	2045	50407
39	2112	50711
40	2174	50853
41	2226	50779
42	2281	50773
43	2330	50641
44	2389	50703
45	2432	50455
46	2475	50200
47	2509	49780
48	2539	49286
49	2568	48803
50	2594	48281
51	2624	47840
52	2652	47394
53	2700	47302
54	2736	47020
55	2776	46802
56	2808	46469
57	2837	46086
58	2865	45697
59	2894	45346
60	2927	45062
61	2970	44940
62	3004	44688
63	3038	44436
64	3075	44235
65	3113	44057
66	3150	43878
67	3217	44097
68	3284	44320
69	3343	44420
70	3389	44351
71	3455	44534
72	3543	45001
73	3600	45049
74	3669	45257
75	3818	46419
76	3854	46202
77	3887	45947
78	3918	45680
79	3969	45644
80	4005	45442
81	4044	45275
82	4082	45108
83	4115	44879
84	4152	44699
85	4189	44528
86	4226	44358
87	4261	44165
88	4292	43934
89	4316	43647
90	4345	43406
91	4372	43158
92	4403	42943
93	4433	42734
94	4466	42550
95	4495	42330
96	4520	42080
97	4550	41880
98	4583	41710
99	4608	41479
100	4636	41266
101	4661	41038
102	4693	40876
103	4735	40794
104	4766	40628
105	4799	40478
106	4832	40331
107	4861	40153
108	4895	40017
109	4934	39921
110	4982	39905
111	5024	39834
112	5061	39732
113	5101	39646
114	5139	39551
115	5174	39434
116	5228	39460
117	5265	39358
118	5293	39187
119	5319	39011
120	5347	38845
121	5373	38669
122	5399	38498
123	5425	38325
124	5462	38239
125	5488	38068
126	5520	37944
127	5569	37942
128	5618	37932
129	5656	37857
130	5693	37771
131	5730	37680
132	5764	37579
133	5797	37465
134	5830	37360
135	5863	37251
136	5895	37135
